Quality	Count	Library
35	1419820.0	FJVN99_R1_rmphix_fastqc
36	2.003013E7	FJVN99_R1_rmphix_fastqc
37	4015658.0	FJVN99_R1_rmphix_fastqc
31	1.0	FJVN99_R2_rmphix_fastqc
32	17.0	FJVN99_R2_rmphix_fastqc
33	2081.0	FJVN99_R2_rmphix_fastqc
34	83126.0	FJVN99_R2_rmphix_fastqc
35	1748711.0	FJVN99_R2_rmphix_fastqc
36	2.086762E7	FJVN99_R2_rmphix_fastqc
37	2863790.0	FJVN99_R2_rmphix_fastqc
31	1.0	JTSVD01_R1_rmphix_fastqc
32	24.0	JTSVD01_R1_rmphix_fastqc
33	4414.0	JTSVD01_R1_rmphix_fastqc
34	134117.0	JTSVD01_R1_rmphix_fastqc
35	1788618.0	JTSVD01_R1_rmphix_fastqc
36	2.4216029E7	JTSVD01_R1_rmphix_fastqc
37	4155015.0	JTSVD01_R1_rmphix_fastqc
32	9.0	JTSVD01_R2_rmphix_fastqc
33	1932.0	JTSVD01_R2_rmphix_fastqc
34	91122.0	JTSVD01_R2_rmphix_fastqc
35	2168297.0	JTSVD01_R2_rmphix_fastqc
36	2.556821E7	JTSVD01_R2_rmphix_fastqc
37	2468648.0	JTSVD01_R2_rmphix_fastqc
32	32.0	JTSVD02_R1_rmphix_fastqc
33	4407.0	JTSVD02_R1_rmphix_fastqc
34	134144.0	JTSVD02_R1_rmphix_fastqc
35	1737549.0	JTSVD02_R1_rmphix_fastqc
36	2.4430777E7	JTSVD02_R1_rmphix_fastqc
37	4714167.0	JTSVD02_R1_rmphix_fastqc
32	6.0	JTSVD02_R2_rmphix_fastqc
33	1605.0	JTSVD02_R2_rmphix_fastqc
34	74148.0	JTSVD02_R2_rmphix_fastqc
35	1812015.0	JTSVD02_R2_rmphix_fastqc
36	2.6028068E7	JTSVD02_R2_rmphix_fastqc
37	3105234.0	JTSVD02_R2_rmphix_fastqc
31	1.0	JTSVD03_R1_rmphix_fastqc
32	24.0	JTSVD03_R1_rmphix_fastqc
33	3751.0	JTSVD03_R1_rmphix_fastqc
34	111959.0	JTSVD03_R1_rmphix_fastqc
35	1512165.0	JTSVD03_R1_rmphix_fastqc
36	2.3802953E7	JTSVD03_R1_rmphix_fastqc
37	5195600.0	JTSVD03_R1_rmphix_fastqc
32	8.0	JTSVD03_R2_rmphix_fastqc
33	1915.0	JTSVD03_R2_rmphix_fastqc
34	84619.0	JTSVD03_R2_rmphix_fastqc
35	1960478.0	JTSVD03_R2_rmphix_fastqc
36	2.5640437E7	JTSVD03_R2_rmphix_fastqc
37	2938996.0	JTSVD03_R2_rmphix_fastqc
32	24.0	JTSVD04_R1_rmphix_fastqc
33	4068.0	JTSVD04_R1_rmphix_fastqc
34	122564.0	JTSVD04_R1_rmphix_fastqc
35	1620118.0	JTSVD04_R1_rmphix_fastqc
36	2.4113233E7	JTSVD04_R1_rmphix_fastqc
37	5063742.0	JTSVD04_R1_rmphix_fastqc
32	6.0	JTSVD04_R2_rmphix_fastqc
33	1866.0	JTSVD04_R2_rmphix_fastqc
34	82996.0	JTSVD04_R2_rmphix_fastqc
35	1937760.0	JTSVD04_R2_rmphix_fastqc
36	2.5816526E7	JTSVD04_R2_rmphix_fastqc
37	3084595.0	JTSVD04_R2_rmphix_fastqc
32	19.0	JTSVD05_R1_rmphix_fastqc
33	3690.0	JTSVD05_R1_rmphix_fastqc
34	118706.0	JTSVD05_R1_rmphix_fastqc
35	1689050.0	JTSVD05_R1_rmphix_fastqc
36	2.3323158E7	JTSVD05_R1_rmphix_fastqc
37	3919512.0	JTSVD05_R1_rmphix_fastqc
32	11.0	JTSVD05_R2_rmphix_fastqc
33	2394.0	JTSVD05_R2_rmphix_fastqc
34	101672.0	JTSVD05_R2_rmphix_fastqc
35	2227970.0	JTSVD05_R2_rmphix_fastqc
36	2.4302418E7	JTSVD05_R2_rmphix_fastqc
37	2419670.0	JTSVD05_R2_rmphix_fastqc
32	26.0	JTSVD06_R1_rmphix_fastqc
33	4483.0	JTSVD06_R1_rmphix_fastqc
34	134563.0	JTSVD06_R1_rmphix_fastqc
35	1764421.0	JTSVD06_R1_rmphix_fastqc
36	2.4777311E7	JTSVD06_R1_rmphix_fastqc
37	4596063.0	JTSVD06_R1_rmphix_fastqc
32	8.0	JTSVD06_R2_rmphix_fastqc
33	1633.0	JTSVD06_R2_rmphix_fastqc
34	79745.0	JTSVD06_R2_rmphix_fastqc
35	1964118.0	JTSVD06_R2_rmphix_fastqc
36	2.6348767E7	JTSVD06_R2_rmphix_fastqc
37	2882596.0	JTSVD06_R2_rmphix_fastqc
32	22.0	JTSVD07_R1_rmphix_fastqc
33	4014.0	JTSVD07_R1_rmphix_fastqc
34	118351.0	JTSVD07_R1_rmphix_fastqc
35	1481056.0	JTSVD07_R1_rmphix_fastqc
36	2.2139462E7	JTSVD07_R1_rmphix_fastqc
37	4518402.0	JTSVD07_R1_rmphix_fastqc
32	4.0	JTSVD07_R2_rmphix_fastqc
33	1159.0	JTSVD07_R2_rmphix_fastqc
34	54827.0	JTSVD07_R2_rmphix_fastqc
35	1419568.0	JTSVD07_R2_rmphix_fastqc
36	2.3786746E7	JTSVD07_R2_rmphix_fastqc
37	2999003.0	JTSVD07_R2_rmphix_fastqc
31	1.0	JTSVD08_R1_rmphix_fastqc
32	20.0	JTSVD08_R1_rmphix_fastqc
33	3692.0	JTSVD08_R1_rmphix_fastqc
34	111161.0	JTSVD08_R1_rmphix_fastqc
35	1479861.0	JTSVD08_R1_rmphix_fastqc
36	2.278845E7	JTSVD08_R1_rmphix_fastqc
37	4409007.0	JTSVD08_R1_rmphix_fastqc
32	7.0	JTSVD08_R2_rmphix_fastqc
33	1695.0	JTSVD08_R2_rmphix_fastqc
34	75763.0	JTSVD08_R2_rmphix_fastqc
35	1862356.0	JTSVD08_R2_rmphix_fastqc
36	2.4397918E7	JTSVD08_R2_rmphix_fastqc
37	2454453.0	JTSVD08_R2_rmphix_fastqc
32	26.0	JTSVD09_R1_rmphix_fastqc
33	2935.0	JTSVD09_R1_rmphix_fastqc
34	93892.0	JTSVD09_R1_rmphix_fastqc
35	1304775.0	JTSVD09_R1_rmphix_fastqc
36	2.0986283E7	JTSVD09_R1_rmphix_fastqc
37	4143882.0	JTSVD09_R1_rmphix_fastqc
32	7.0	JTSVD09_R2_rmphix_fastqc
33	1988.0	JTSVD09_R2_rmphix_fastqc
34	86984.0	JTSVD09_R2_rmphix_fastqc
35	2008154.0	JTSVD09_R2_rmphix_fastqc
36	2.2418207E7	JTSVD09_R2_rmphix_fastqc
37	2016453.0	JTSVD09_R2_rmphix_fastqc
32	17.0	JTSVD10_R1_rmphix_fastqc
33	3608.0	JTSVD10_R1_rmphix_fastqc
34	115359.0	JTSVD10_R1_rmphix_fastqc
35	1637490.0	JTSVD10_R1_rmphix_fastqc
36	2.50439E7	JTSVD10_R1_rmphix_fastqc
37	4987616.0	JTSVD10_R1_rmphix_fastqc
32	18.0	JTSVD10_R2_rmphix_fastqc
33	3233.0	JTSVD10_R2_rmphix_fastqc
34	132911.0	JTSVD10_R2_rmphix_fastqc
35	2796734.0	JTSVD10_R2_rmphix_fastqc
36	2.6525697E7	JTSVD10_R2_rmphix_fastqc
37	2329397.0	JTSVD10_R2_rmphix_fastqc
32	22.0	JTSVD11_R1_rmphix_fastqc
33	4142.0	JTSVD11_R1_rmphix_fastqc
34	127256.0	JTSVD11_R1_rmphix_fastqc
35	1707238.0	JTSVD11_R1_rmphix_fastqc
36	2.4909877E7	JTSVD11_R1_rmphix_fastqc
37	4883238.0	JTSVD11_R1_rmphix_fastqc
32	9.0	JTSVD11_R2_rmphix_fastqc
33	1960.0	JTSVD11_R2_rmphix_fastqc
