Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	Library
8	36.766652177977846	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
9	36.775061082730645	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
10-14	36.75920120114254	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
15-19	36.76353864014702	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
20-24	36.75534257260507	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
25-29	36.736783399451056	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
30-34	36.72251973415233	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
35-39	36.70677469228397	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
40-44	36.698033673294255	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
45-49	36.679953952481746	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
50-54	36.6550781108869	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
55-59	36.6531544731349	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
60-64	36.65750121489809	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
65-69	36.64285191789317	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
70-74	36.633269549957966	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
75-79	36.63119510400044	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
80-84	36.629948795106074	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
85-89	36.642490278460876	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
90-94	36.636803479470785	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
95-99	36.63338145253881	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
100-104	36.622397638300114	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
105-109	36.61768849869739	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
110-114	36.61002074200047	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
115-119	36.600803307085805	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
120-124	36.595635524388356	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
125-129	36.57179754787207	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
130-134	36.5699707898375	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
135-139	36.54638701671306	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
140-144	36.53851993345012	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
145-149	36.526465174375275	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
150-151	36.77351327929354	37.0	37.0	37.0	37.0	37.0	FJVN102_R2_rmphix_fastqc
1	36.656334309821744	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
2	36.70451871800443	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
3	36.76246238003714	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
4	36.80288025567693	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
5	36.81369226167983	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
