Duplication_Level	Percentage_of_deduplicated	Percentage_of_total	Library
6	8.896966500545279E-4	0.005047115953944606	FJVN117_R1_rmphix_fastqc
7	3.056242231651279E-4	0.002022720562092472	FJVN117_R1_rmphix_fastqc
8	0.0	0.0	FJVN117_R1_rmphix_fastqc
9	0.0	0.0	FJVN117_R1_rmphix_fastqc
>10	4.7068134555376396E-4	0.008334509835445517	FJVN117_R1_rmphix_fastqc
>50	0.0	0.0	FJVN117_R1_rmphix_fastqc
>100	0.0	0.0	FJVN117_R1_rmphix_fastqc
>500	0.0	0.0	FJVN117_R1_rmphix_fastqc
>1k	0.0	0.0	FJVN117_R1_rmphix_fastqc
>5k	0.0	0.0	FJVN117_R1_rmphix_fastqc
>10k+	0.0	0.0	FJVN117_R1_rmphix_fastqc
1	94.50933386891883	89.2969854127984	FJVN117_R2_rmphix_fastqc
2	5.194675775630871	9.816361368160678	FJVN117_R2_rmphix_fastqc
3	0.2754302782541131	0.7807195077772875	FJVN117_R2_rmphix_fastqc
4	0.015961707431878896	0.06032556986105657	FJVN117_R2_rmphix_fastqc
5	0.0021323195766843883	0.010073592857965859	FJVN117_R2_rmphix_fastqc
6	8.901736335992762E-4	0.005046474377945905	FJVN117_R2_rmphix_fastqc
7	6.11576882672734E-4	0.004044931734743125	FJVN117_R2_rmphix_fastqc
8	6.701958383539039E-4	0.005065867300193798	FJVN117_R2_rmphix_fastqc
9	0.0	0.0	FJVN117_R2_rmphix_fastqc
>10	2.493599532562158E-4	0.0052735080420493055	FJVN117_R2_rmphix_fastqc
>50	4.067543442754428E-5	0.0022266970525790337	FJVN117_R2_rmphix_fastqc
>100	0.0	0.0	FJVN117_R2_rmphix_fastqc
>500	0.0	0.0	FJVN117_R2_rmphix_fastqc
>1k	4.068445312611786E-6	0.013877070037075695	FJVN117_R2_rmphix_fastqc
>5k	0.0	0.0	FJVN117_R2_rmphix_fastqc
>10k+	0.0	0.0	FJVN117_R2_rmphix_fastqc
1	94.52786064192846	89.34237958969669	FJVN118_R1_rmphix_fastqc
2	5.174769531858974	9.781798099839229	FJVN118_R1_rmphix_fastqc
3	0.27686886888864165	0.7850423170324173	FJVN118_R1_rmphix_fastqc
4	0.015166950374678224	0.05733976960403365	FJVN118_R1_rmphix_fastqc
5	0.0025596984121195637	0.012096409757807066	FJVN118_R1_rmphix_fastqc
6	8.906146808145827E-4	0.005050551298282492	FJVN118_R1_rmphix_fastqc
7	4.589730987617924E-4	0.003036567629141173	FJVN118_R1_rmphix_fastqc
8	6.707124033624308E-4	0.005071354982947307	FJVN118_R1_rmphix_fastqc
9	2.3896565815772399E-4	0.002032711240425908	FJVN118_R1_rmphix_fastqc
>10	5.150426960544151E-4	0.006152628919006642	FJVN118_R1_rmphix_fastqc
>50	0.0	0.0	FJVN118_R1_rmphix_fastqc
>100	0.0	0.0	FJVN118_R1_rmphix_fastqc
>500	0.0	0.0	FJVN118_R1_rmphix_fastqc
>1k	0.0	0.0	FJVN118_R1_rmphix_fastqc
>5k	0.0	0.0	FJVN118_R1_rmphix_fastqc
>10k+	0.0	0.0	FJVN118_R1_rmphix_fastqc
1	94.44213620131204	89.15253626249596	FJVN118_R2_rmphix_fastqc
2	5.251796181570751	9.915297733687211	FJVN118_R2_rmphix_fastqc
3	0.28070279644794377	0.7949428267685138	FJVN118_R2_rmphix_fastqc
4	0.018911972554669403	0.07141093527920724	FJVN118_R2_rmphix_fastqc
5	0.0025623871857555288	0.012094353520852013	FJVN118_R2_rmphix_fastqc
6	0.001069862422960772	0.006059643648185517	FJVN118_R2_rmphix_fastqc
7	0.001072066529151088	0.007084148852642737	FJVN118_R2_rmphix_fastqc
8	0.0010742736458988261	0.008112838105879972	FJVN118_R2_rmphix_fastqc
9	2.3921861625081153E-4	0.002032382207350098	FJVN118_R2_rmphix_fastqc
>10	3.7262355788701413E-4	0.009603751772934406	FJVN118_R2_rmphix_fastqc
>50	5.804704237047075E-5	0.003416009871088141	FJVN118_R2_rmphix_fastqc
>100	0.0	0.0	FJVN118_R2_rmphix_fastqc
>500	0.0	0.0	FJVN118_R2_rmphix_fastqc
>1k	4.369114345691672E-6	0.017409113790143274	FJVN118_R2_rmphix_fastqc
>5k	0.0	0.0	FJVN118_R2_rmphix_fastqc
>10k+	0.0	0.0	FJVN118_R2_rmphix_fastqc
1	94.65944472196944	89.60466946219852	FJVN67_R1_rmphix_fastqc
2	5.061298433015151	9.582054373378543	FJVN67_R1_rmphix_fastqc
3	0.2626310827403416	0.7458200741162558	FJVN67_R1_rmphix_fastqc
4	0.013813156442359642	0.052302158369201227	FJVN67_R1_rmphix_fastqc
5	0.002129364463425742	0.010078286401860356	FJVN67_R1_rmphix_fastqc
6	0.0	0.0	FJVN67_R1_rmphix_fastqc
7	6.108309847060231E-4	0.00404749003650183	FJVN67_R1_rmphix_fastqc
8	0.0	0.0	FJVN67_R1_rmphix_fastqc
9	0.0	0.0	FJVN67_R1_rmphix_fastqc
>10	7.241038457689723E-5	0.0010281554991212122	FJVN67_R1_rmphix_fastqc
>50	0.0	0.0	FJVN67_R1_rmphix_fastqc
>100	0.0	0.0	FJVN67_R1_rmphix_fastqc
>500	0.0	0.0	FJVN67_R1_rmphix_fastqc
>1k	0.0	0.0	FJVN67_R1_rmphix_fastqc
>5k	0.0	0.0	FJVN67_R1_rmphix_fastqc
>10k+	0.0	0.0	FJVN67_R1_rmphix_fastqc
1	94.65127808231725	89.5649320855179	FJVN67_R2_rmphix_fastqc
2	5.065980337753887	9.587491983000755	FJVN67_R2_rmphix_fastqc
3	0.26727792667869743	0.7587450429390811	FJVN67_R2_rmphix_fastqc
4	0.011690320026735911	0.04424843448355633	FJVN67_R2_rmphix_fastqc
5	0.002342755536630683	0.011084305715809362	FJVN67_R2_rmphix_fastqc
6	8.89186863156311E-4	0.00504842381149894	FJVN67_R2_rmphix_fastqc
7	0.0	0.0	FJVN67_R2_rmphix_fastqc
8	1.3391293380263396E-4	0.0010137340405250005	FJVN67_R2_rmphix_fastqc
9	0.0	0.0	FJVN67_R2_rmphix_fastqc
>10	3.1340243547684366E-4	0.005265469498704388	FJVN67_R2_rmphix_fastqc
>50	8.98359579130703E-5	0.00571061639989221	FJVN67_R2_rmphix_fastqc
>100	0.0	0.0	FJVN67_R2_rmphix_fastqc
>500	0.0	0.0	FJVN67_R2_rmphix_fastqc
>1k	4.239496473110574E-6	0.016459904592297184	FJVN67_R2_rmphix_fastqc
>5k	0.0	0.0	FJVN67_R2_rmphix_fastqc
>10k+	0.0	0.0	FJVN67_R2_rmphix_fastqc
1	94.50415278914237	89.30591392800244	FJVN68_R1_rmphix_fastqc
2	5.193958433059742	9.816525328858306	FJVN68_R1_rmphix_fastqc
3	0.282911239794874	0.8020487804411571	FJVN68_R1_rmphix_fastqc
4	0.017030289709797062	0.06437412715123857	FJVN68_R1_rmphix_fastqc
5	0.0014931618025362764	0.007055149190925614	FJVN68_R1_rmphix_fastqc
6	1.7811634480040256E-4	0.0010099139025185379	FJVN68_R1_rmphix_fastqc
7	0.0	0.0	FJVN68_R1_rmphix_fastqc
8	1.3412682197923954E-4	0.0010139929783479877	FJVN68_R1_rmphix_fastqc
9	0.0	0.0	FJVN68_R1_rmphix_fastqc
>10	1.4184332389658108E-4	0.002058779475069909	FJVN68_R1_rmphix_fastqc
>50	0.0	0.0	FJVN68_R1_rmphix_fastqc
>100	0.0	0.0	FJVN68_R1_rmphix_fastqc
>500	0.0	0.0	FJVN68_R1_rmphix_fastqc
>1k	0.0	0.0	FJVN68_R1_rmphix_fastqc
>5k	0.0	0.0	FJVN68_R1_rmphix_fastqc
>10k+	0.0	0.0	FJVN68_R1_rmphix_fastqc
1	94.37036045916477	89.03751974485621	FJVN68_R2_rmphix_fastqc
2	5.312882218883037	10.025305682086204	FJVN68_R2_rmphix_fastqc
3	0.29785636888251404	0.843073784919484	FJVN68_R2_rmphix_fastqc
4	0.017587802213222082	0.06637568317887281	FJVN68_R2_rmphix_fastqc
5	6.40850980450233E-4	0.003023183420499838	FJVN68_R2_rmphix_fastqc
6	1.783742379386691E-4	0.00100976618009064	FJVN68_R2_rmphix_fastqc
7	1.5320125535064495E-4	0.0010118072890995902	FJVN68_R2_rmphix_fastqc
8	0.0	0.0	FJVN68_R2_rmphix_fastqc
9	0.0	0.0	FJVN68_R2_rmphix_fastqc
>10	3.364353185656774E-4	0.0063438589077876514	FJVN68_R2_rmphix_fastqc
>50	0.0	0.0	FJVN68_R2_rmphix_fastqc
>100	0.0	0.0	FJVN68_R2_rmphix_fastqc
>500	0.0	0.0	FJVN68_R2_rmphix_fastqc
>1k	4.289064129422601E-6	0.01633648916173068	FJVN68_R2_rmphix_fastqc
>5k	0.0	0.0	FJVN68_R2_rmphix_fastqc
>10k+	0.0	0.0	FJVN68_R2_rmphix_fastqc
1	94.73486836772842	89.72295033586953	FJVN69_R1_rmphix_fastqc
2	4.969575333628353	9.413323067462887	FJVN69_R1_rmphix_fastqc
3	0.2780743628458718	0.7900887817921282	FJVN69_R1_rmphix_fastqc
4	0.014339758037084047	0.05432447082506158	FJVN69_R1_rmphix_fastqc
5	0.0017030523330975819	0.008064764459732634	FJVN69_R1_rmphix_fastqc
6	5.33307075913078E-4	0.003030555809726572	FJVN69_R1_rmphix_fastqc
7	4.580672699594935E-4	0.0030368335687627796	FJVN69_R1_rmphix_fastqc
8	1.338795177945235E-4	0.001014373316438586	FJVN69_R1_rmphix_fastqc
9	1.1925018767774514E-4	0.0010164716503874322	FJVN69_R1_rmphix_fastqc
>10	1.9462137581820015E-4	0.003150345245310735	FJVN69_R1_rmphix_fastqc
>50	0.0	0.0	FJVN69_R1_rmphix_fastqc
>100	0.0	0.0	FJVN69_R1_rmphix_fastqc
>500	0.0	0.0	FJVN69_R1_rmphix_fastqc
>1k	0.0	0.0	FJVN69_R1_rmphix_fastqc
>5k	0.0	0.0	FJVN69_R1_rmphix_fastqc
>10k+	0.0	0.0	FJVN69_R1_rmphix_fastqc
1	94.69732526137577	89.63203097239901	FJVN69_R2_rmphix_fastqc
2	4.9969103603417455	9.459258177530199	FJVN69_R2_rmphix_fastqc
3	0.2884641216256112	0.8191031271244912	FJVN69_R2_rmphix_fastqc
4	0.01461256004453067	0.055323777345657424	FJVN69_R2_rmphix_fastqc
5	0.001277923748641997	0.006047842465586638	FJVN69_R2_rmphix_fastqc
6	5.335721558348392E-4	0.0030301905063819887	FJVN69_R2_rmphix_fastqc
7	1.527650289925606E-4	0.0010121561343635766	FJVN69_R2_rmphix_fastqc
8	2.6789228274213357E-4	0.0020285032818178877	FJVN69_R2_rmphix_fastqc
