Length	Count	Library
145-149	344351.0	FJVN117_R2_rmphix_fastqc
150-152	2.2185199E7	FJVN117_R2_rmphix_fastqc
50-54	244114.0	FJVN118_R1_rmphix_fastqc
55-59	225131.0	FJVN118_R1_rmphix_fastqc
60-64	216334.0	FJVN118_R1_rmphix_fastqc
65-69	208388.0	FJVN118_R1_rmphix_fastqc
70-74	206884.0	FJVN118_R1_rmphix_fastqc
75-79	198190.0	FJVN118_R1_rmphix_fastqc
80-84	194213.0	FJVN118_R1_rmphix_fastqc
85-89	189063.0	FJVN118_R1_rmphix_fastqc
90-94	188055.0	FJVN118_R1_rmphix_fastqc
95-99	194235.0	FJVN118_R1_rmphix_fastqc
100-104	208326.0	FJVN118_R1_rmphix_fastqc
105-109	205385.0	FJVN118_R1_rmphix_fastqc
110-114	198431.0	FJVN118_R1_rmphix_fastqc
115-119	198758.0	FJVN118_R1_rmphix_fastqc
120-124	212640.0	FJVN118_R1_rmphix_fastqc
125-129	215141.0	FJVN118_R1_rmphix_fastqc
130-134	215786.0	FJVN118_R1_rmphix_fastqc
135-139	212039.0	FJVN118_R1_rmphix_fastqc
140-144	233808.0	FJVN118_R1_rmphix_fastqc
145-149	293416.0	FJVN118_R1_rmphix_fastqc
150-152	2.1216573E7	FJVN118_R1_rmphix_fastqc
50-54	214856.0	FJVN118_R2_rmphix_fastqc
55-59	214824.0	FJVN118_R2_rmphix_fastqc
60-64	205395.0	FJVN118_R2_rmphix_fastqc
65-69	221366.0	FJVN118_R2_rmphix_fastqc
70-74	212387.0	FJVN118_R2_rmphix_fastqc
75-79	213999.0	FJVN118_R2_rmphix_fastqc
80-84	212069.0	FJVN118_R2_rmphix_fastqc
85-89	207801.0	FJVN118_R2_rmphix_fastqc
90-94	209221.0	FJVN118_R2_rmphix_fastqc
95-99	207720.0	FJVN118_R2_rmphix_fastqc
100-104	210125.0	FJVN118_R2_rmphix_fastqc
105-109	212678.0	FJVN118_R2_rmphix_fastqc
110-114	213575.0	FJVN118_R2_rmphix_fastqc
115-119	219062.0	FJVN118_R2_rmphix_fastqc
120-124	223411.0	FJVN118_R2_rmphix_fastqc
125-129	231405.0	FJVN118_R2_rmphix_fastqc
130-134	235888.0	FJVN118_R2_rmphix_fastqc
135-139	252722.0	FJVN118_R2_rmphix_fastqc
140-144	256331.0	FJVN118_R2_rmphix_fastqc
145-149	300780.0	FJVN118_R2_rmphix_fastqc
150-152	2.0999295E7	FJVN118_R2_rmphix_fastqc
50-54	243768.0	FJVN67_R1_rmphix_fastqc
55-59	226010.0	FJVN67_R1_rmphix_fastqc
60-64	217211.0	FJVN67_R1_rmphix_fastqc
65-69	212597.0	FJVN67_R1_rmphix_fastqc
70-74	210127.0	FJVN67_R1_rmphix_fastqc
75-79	201458.0	FJVN67_R1_rmphix_fastqc
80-84	197792.0	FJVN67_R1_rmphix_fastqc
85-89	194896.0	FJVN67_R1_rmphix_fastqc
90-94	194413.0	FJVN67_R1_rmphix_fastqc
95-99	199655.0	FJVN67_R1_rmphix_fastqc
100-104	215754.0	FJVN67_R1_rmphix_fastqc
105-109	210930.0	FJVN67_R1_rmphix_fastqc
110-114	207796.0	FJVN67_R1_rmphix_fastqc
115-119	207421.0	FJVN67_R1_rmphix_fastqc
120-124	223366.0	FJVN67_R1_rmphix_fastqc
125-129	227413.0	FJVN67_R1_rmphix_fastqc
130-134	228574.0	FJVN67_R1_rmphix_fastqc
135-139	227648.0	FJVN67_R1_rmphix_fastqc
140-144	250547.0	FJVN67_R1_rmphix_fastqc
145-149	314293.0	FJVN67_R1_rmphix_fastqc
150-152	2.1789315E7	FJVN67_R1_rmphix_fastqc
50-54	244664.0	FJVN67_R2_rmphix_fastqc
55-59	247650.0	FJVN67_R2_rmphix_fastqc
60-64	235589.0	FJVN67_R2_rmphix_fastqc
65-69	255966.0	FJVN67_R2_rmphix_fastqc
70-74	243618.0	FJVN67_R2_rmphix_fastqc
75-79	244644.0	FJVN67_R2_rmphix_fastqc
80-84	243304.0	FJVN67_R2_rmphix_fastqc
85-89	239575.0	FJVN67_R2_rmphix_fastqc
90-94	242665.0	FJVN67_R2_rmphix_fastqc
95-99	241888.0	FJVN67_R2_rmphix_fastqc
100-104	245805.0	FJVN67_R2_rmphix_fastqc
105-109	247659.0	FJVN67_R2_rmphix_fastqc
110-114	249283.0	FJVN67_R2_rmphix_fastqc
115-119	256578.0	FJVN67_R2_rmphix_fastqc
120-124	264648.0	FJVN67_R2_rmphix_fastqc
125-129	273462.0	FJVN67_R2_rmphix_fastqc
130-134	279215.0	FJVN67_R2_rmphix_fastqc
135-139	295727.0	FJVN67_R2_rmphix_fastqc
140-144	303270.0	FJVN67_R2_rmphix_fastqc
145-149	356382.0	FJVN67_R2_rmphix_fastqc
150-152	2.0989392E7	FJVN67_R2_rmphix_fastqc
50-54	251347.0	FJVN68_R1_rmphix_fastqc
55-59	234379.0	FJVN68_R1_rmphix_fastqc
60-64	223895.0	FJVN68_R1_rmphix_fastqc
65-69	217111.0	FJVN68_R1_rmphix_fastqc
70-74	213921.0	FJVN68_R1_rmphix_fastqc
75-79	205513.0	FJVN68_R1_rmphix_fastqc
80-84	201366.0	FJVN68_R1_rmphix_fastqc
85-89	196646.0	FJVN68_R1_rmphix_fastqc
90-94	196134.0	FJVN68_R1_rmphix_fastqc
95-99	201611.0	FJVN68_R1_rmphix_fastqc
100-104	215857.0	FJVN68_R1_rmphix_fastqc
105-109	212295.0	FJVN68_R1_rmphix_fastqc
110-114	207504.0	FJVN68_R1_rmphix_fastqc
115-119	205922.0	FJVN68_R1_rmphix_fastqc
120-124	220957.0	FJVN68_R1_rmphix_fastqc
125-129	224673.0	FJVN68_R1_rmphix_fastqc
130-134	226026.0	FJVN68_R1_rmphix_fastqc
135-139	222845.0	FJVN68_R1_rmphix_fastqc
140-144	246524.0	FJVN68_R1_rmphix_fastqc
145-149	308200.0	FJVN68_R1_rmphix_fastqc
150-152	2.1575703E7	FJVN68_R1_rmphix_fastqc
50-54	212666.0	FJVN68_R2_rmphix_fastqc
55-59	212274.0	FJVN68_R2_rmphix_fastqc
60-64	204244.0	FJVN68_R2_rmphix_fastqc
65-69	224049.0	FJVN68_R2_rmphix_fastqc
70-74	213296.0	FJVN68_R2_rmphix_fastqc
75-79	214109.0	FJVN68_R2_rmphix_fastqc
80-84	211967.0	FJVN68_R2_rmphix_fastqc
85-89	210108.0	FJVN68_R2_rmphix_fastqc
90-94	212655.0	FJVN68_R2_rmphix_fastqc
95-99	212561.0	FJVN68_R2_rmphix_fastqc
100-104	215080.0	FJVN68_R2_rmphix_fastqc
105-109	217506.0	FJVN68_R2_rmphix_fastqc
110-114	219786.0	FJVN68_R2_rmphix_fastqc
115-119	226154.0	FJVN68_R2_rmphix_fastqc
120-124	230885.0	FJVN68_R2_rmphix_fastqc
125-129	239405.0	FJVN68_R2_rmphix_fastqc
130-134	245158.0	FJVN68_R2_rmphix_fastqc
135-139	260783.0	FJVN68_R2_rmphix_fastqc
140-144	268500.0	FJVN68_R2_rmphix_fastqc
145-149	313792.0	FJVN68_R2_rmphix_fastqc
150-152	2.1443451E7	FJVN68_R2_rmphix_fastqc
50-54	234724.0	FJVN69_R1_rmphix_fastqc
55-59	216299.0	FJVN69_R1_rmphix_fastqc
60-64	207065.0	FJVN69_R1_rmphix_fastqc
65-69	199764.0	FJVN69_R1_rmphix_fastqc
