GC_Content	Count	Library
72	1164138.0	FJVN101_R1_rmphix_fastqc
73	1037194.0	FJVN101_R1_rmphix_fastqc
74	894940.5	FJVN101_R1_rmphix_fastqc
75	745827.0	FJVN101_R1_rmphix_fastqc
76	602198.0	FJVN101_R1_rmphix_fastqc
77	469624.0	FJVN101_R1_rmphix_fastqc
78	353165.5	FJVN101_R1_rmphix_fastqc
79	257708.0	FJVN101_R1_rmphix_fastqc
80	181833.5	FJVN101_R1_rmphix_fastqc
81	123575.5	FJVN101_R1_rmphix_fastqc
82	81313.0	FJVN101_R1_rmphix_fastqc
83	52574.0	FJVN101_R1_rmphix_fastqc
84	32926.0	FJVN101_R1_rmphix_fastqc
85	20185.5	FJVN101_R1_rmphix_fastqc
86	12175.0	FJVN101_R1_rmphix_fastqc
87	7171.5	FJVN101_R1_rmphix_fastqc
88	4140.0	FJVN101_R1_rmphix_fastqc
89	2311.5	FJVN101_R1_rmphix_fastqc
90	1282.0	FJVN101_R1_rmphix_fastqc
91	715.5	FJVN101_R1_rmphix_fastqc
92	371.5	FJVN101_R1_rmphix_fastqc
93	187.5	FJVN101_R1_rmphix_fastqc
94	97.0	FJVN101_R1_rmphix_fastqc
95	63.5	FJVN101_R1_rmphix_fastqc
96	40.0	FJVN101_R1_rmphix_fastqc
97	27.5	FJVN101_R1_rmphix_fastqc
98	21.5	FJVN101_R1_rmphix_fastqc
99	14.5	FJVN101_R1_rmphix_fastqc
100	5.5	FJVN101_R1_rmphix_fastqc
0	95.0	FJVN101_R2_rmphix_fastqc
1	94.5	FJVN101_R2_rmphix_fastqc
2	101.5	FJVN101_R2_rmphix_fastqc
3	112.5	FJVN101_R2_rmphix_fastqc
4	124.5	FJVN101_R2_rmphix_fastqc
5	158.0	FJVN101_R2_rmphix_fastqc
6	209.5	FJVN101_R2_rmphix_fastqc
7	258.0	FJVN101_R2_rmphix_fastqc
8	310.5	FJVN101_R2_rmphix_fastqc
9	416.5	FJVN101_R2_rmphix_fastqc
10	543.0	FJVN101_R2_rmphix_fastqc
11	685.5	FJVN101_R2_rmphix_fastqc
12	886.0	FJVN101_R2_rmphix_fastqc
13	1149.5	FJVN101_R2_rmphix_fastqc
14	1480.0	FJVN101_R2_rmphix_fastqc
15	1847.0	FJVN101_R2_rmphix_fastqc
16	2312.5	FJVN101_R2_rmphix_fastqc
17	2855.5	FJVN101_R2_rmphix_fastqc
18	3535.0	FJVN101_R2_rmphix_fastqc
19	4421.0	FJVN101_R2_rmphix_fastqc
20	5308.0	FJVN101_R2_rmphix_fastqc
21	6379.0	FJVN101_R2_rmphix_fastqc
22	7807.0	FJVN101_R2_rmphix_fastqc
23	9357.5	FJVN101_R2_rmphix_fastqc
24	11100.0	FJVN101_R2_rmphix_fastqc
25	13297.0	FJVN101_R2_rmphix_fastqc
26	15747.0	FJVN101_R2_rmphix_fastqc
27	18603.5	FJVN101_R2_rmphix_fastqc
28	21889.0	FJVN101_R2_rmphix_fastqc
29	25314.5	FJVN101_R2_rmphix_fastqc
30	29154.0	FJVN101_R2_rmphix_fastqc
31	33225.5	FJVN101_R2_rmphix_fastqc
32	37582.0	FJVN101_R2_rmphix_fastqc
33	42281.5	FJVN101_R2_rmphix_fastqc
34	47363.0	FJVN101_R2_rmphix_fastqc
35	52588.0	FJVN101_R2_rmphix_fastqc
36	57737.5	FJVN101_R2_rmphix_fastqc
37	63572.0	FJVN101_R2_rmphix_fastqc
38	70143.0	FJVN101_R2_rmphix_fastqc
39	76701.0	FJVN101_R2_rmphix_fastqc
40	83625.0	FJVN101_R2_rmphix_fastqc
41	91578.0	FJVN101_R2_rmphix_fastqc
42	100018.5	FJVN101_R2_rmphix_fastqc
43	109493.0	FJVN101_R2_rmphix_fastqc
44	120630.0	FJVN101_R2_rmphix_fastqc
45	133259.5	FJVN101_R2_rmphix_fastqc
46	148231.5	FJVN101_R2_rmphix_fastqc
47	166434.0	FJVN101_R2_rmphix_fastqc
48	187409.0	FJVN101_R2_rmphix_fastqc
49	212163.5	FJVN101_R2_rmphix_fastqc
50	240887.0	FJVN101_R2_rmphix_fastqc
51	273527.0	FJVN101_R2_rmphix_fastqc
52	312051.5	FJVN101_R2_rmphix_fastqc
53	354909.5	FJVN101_R2_rmphix_fastqc
54	402073.0	FJVN101_R2_rmphix_fastqc
55	454199.5	FJVN101_R2_rmphix_fastqc
56	509867.0	FJVN101_R2_rmphix_fastqc
57	571349.5	FJVN101_R2_rmphix_fastqc
58	639300.5	FJVN101_R2_rmphix_fastqc
59	711849.0	FJVN101_R2_rmphix_fastqc
60	788027.5	FJVN101_R2_rmphix_fastqc
