SampleID2	SampleID	Ward_Batch	pH_Soil	pH_Buffer	Soluble_Salts	Lime	Texture	OM	Nitrate	lbs	Phosphorus	Potassium	Sulfate	Zinc	Iron	Manganese	Copper	Calcium	Magnesium	Sodium	CEC	H_Sat	K_Sat	Ca_Sat	Mg_Sat	Na_Sat	Set
JEP125	JEP125	B	5.3	6.2	0.1	NONE	2	4.6	2.1	4	11.3	235	5.6	3.05	144.7	15.6	1.64	810	263	46	15	53	4	27	15	1	Temporal
JEP126	JEP126	B	5.8	6.3	0.22	NONE	2	3.8	0.2	0	19.2	171	25	1.95	145.3	39	2.32	334	602	382	15.4	43	3	10	33	11	Temporal
JEP127	JEP127	B	5.4	6.3	0.08	NONE	2	4.4	1.1	2	7.6	181	4.7	2.49	131.9	16.6	1.51	719	227	60	13.3	53	3	27	14	2	Temporal
JEP128	JEP128	B	5.4	6	0.16	NONE	2	3.4	0.2	0	9.2	123	9.2	1.58	167	21.5	1.71	319	324	200	15.8	65	2	10	17	5	Temporal
JEP137	JEP137	B	5.2	6.3	0.08	NONE	2	3.3	0.5	1	7.8	150	9.5	2.11	122.5	21.6	1.61	575	155	59	12.2	61	3	23	11	2	Temporal
JEP138	JEP138	B	4.9	6	0.27	NONE	2	3.8	0.4	1	16.7	113	10.2	2.3	211.6	32.9	1.8	301	199	199	14.7	71	2	10	11	6	Temporal
JEP139	JEP139	B	5.1	6.1	0.06	NONE	2	3.4	0.4	1	7.7	79	11.5	1.54	140	17.9	1.34	366	174	64	12.8	71	2	14	11	2	Temporal
JEP140	JEP140	B	5.5	6.1	0.11	NONE	2	3.3	0.3	1	9.4	153	9.5	1.4	112.9	30.4	1.47	286	226	188	13.2	66	3	11	14	6	Temporal
JEP141	JEP141	B	5.3	6.2	0.08	NONE	2	4.6	0.8	1	14.4	247	8.3	3.65	154.6	19.8	1.71	808	277	49	15	52	4	27	15	1	Temporal
JEP142	JEP142	B	5.4	6.2	0.2	NONE	2	3.8	0.2	0	21.3	156	10.6	2.1	189.7	30.6	2.03	307	408	300	15	56	3	9	23	9	Temporal
JEP143	JEP143	B	5.2	6.2	0.06	NONE	2	4.5	0.7	1	7.8	135	13.6	2.35	134.4	23.9	1.66	618	216	59	13.4	59	3	23	13	2	Temporal
